txn_datetime,txn_month,txn_year,user_id,win_amount,win_count,deposit_amount,deposit_count,total_unique_players,table_count,game_played_count,wager_amount,wager_rejoin_amount,partner_wager_amount,partner_rake_amount,partner_won_amount,other_cost,rake_amount,rejoin_rake_amount,cash_as_bonus,bonus_as_bonus,rc_cash_as_bonus,rc_bonus_as_bonus,withdrawal_amount,withdrawal_count,cg_wager_amount,cg_wager_count,cg_wager_refund,cg_wager_refund_count,cg_winning_amount,cg_won_count,cg_bonus_amount,cg_bonus_count,Platform_fee,Platform_fee_count,first_time_depositdate,DEPOSIT_TYPE,mg_wager_amount,mg_wager_count,mg_wager_refund,mg_wager_refund_count,mg_winning_amount,mg_won_count,mg_platform_fee,Withdrawal_Balance,ante_wgr_amount,ante_wgr_count,call_wgr_amount,call_wgr_count,ante_wgr_refund_amount,ante_wgr_refund_count,call_wgr_refund_amount,call_wgr_refund_count,ante_win_amount,ante_won_count,call_win_amount,call_won_count,casino_holdem_platform_fee,casino_holdem_platform_count,one_day_teen_patti_wgr_amount,one_day_teen_patti_wgr_count,one_day_teen_patti_wgr_refund_amount,one_day_teen_patti_wgr_refund_count,one_day_teen_patti_won_amount,one_day_teen_patti_won_count,one_day_teen_patti_platform_fee,one_day_teen_patti_platform_count,session_count,session_time_in_minutes
8/27/2024,11,2024,1E+11,361,39,825,2,2,8,1837,4960,2225,2929,3060,2586,2967,2959,4896,2575,4197,4494,4348,1208,3279,2698,1453,1017,1856,573,4690,3938,4247,1370,4388,4821,527,3445,4199,489,1501,4866,1221,1372,4004,3277,1861,4404,1278,4540,1556,3118,3591,3776,4542,3898,277,2750,4849,828,1959,4256,2536,2562,220,3265,4123,5,26
10/7/2024,11,2024,1E+11,74,18,2353,12,1,12,4338,860,2205,2628,1853,3965,4737,4416,4374,4292,2929,1975,2886,1883,1606,4008,4686,3671,3504,126,2349,3156,2758,266,198,781,324,4875,1958,944,4350,4526,4627,4713,3007,135,2698,455,1227,1413,3046,2517,3369,4390,1293,2396,899,3573,581,4600,2602,1703,124,4875,1014,1405,2832,6,79
1/2/2024,4,2024,1E+11,587,5,4739,11,3,13,1468,3729,3638,4868,4694,1175,4420,4481,4032,171,4018,1092,3738,3182,1883,3650,855,334,3641,46,39,1499,2684,4394,1901,419,1604,3651,1169,4422,2374,674,3775,1606,1651,4669,3294,2334,231,355,2914,4533,3411,4800,2308,1018,26,4360,4616,2178,2429,3995,4466,2681,3930,2050,2170,2,24
5/6/2024,1,2024,1E+11,563,38,1598,7,3,6,587,4291,3737,665,2656,867,285,4780,2547,1793,3394,2535,4225,2170,692,952,3426,3601,4276,4356,2155,4341,1900,1810,4639,2740,1237,4299,3997,1509,24,3494,1202,2384,3889,1403,2387,1589,4333,1105,679,4321,2406,4708,4215,2195,4830,1605,4323,2256,4044,3985,473,757,3714,2096,2313,11,161
6/10/2024,12,2024,1E+11,663,0,3421,5,4,1,2001,3220,4223,2685,551,2427,4921,4099,3360,3082,2208,782,3815,4274,3574,4093,3118,1334,810,2557,4225,2088,4062,178,1208,4911,34,4430,1876,2490,4330,1320,3747,4077,4706,4885,4863,526,3727,4845,2022,83,17,4838,955,257,2653,2934,2857,4684,3725,2288,141,919,3879,2810,2277,6,83
6/17/2024,2,2024,1E+11,95,44,901,17,1,13,2739,2390,2289,818,3400,2492,3477,2185,4466,3171,3831,4711,34,3100,2558,4984,4312,2527,2332,2912,1569,3919,3828,2238,3215,2391,3858,4829,1420,4494,1908,3277,1171,4832,2181,3055,4462,3653,28,3412,1186,4911,1515,471,3116,1102,1335,17,1755,4463,2704,21,2787,4147,1256,1728,2131,16,96
3/18/2024,8,2024,1E+11,240,14,757,9,4,11,2515,826,507,163,3751,1167,675,2583,1275,1651,1137,2065,4940,2998,2290,788,595,274,4380,1533,4545,4609,3664,4153,2772,1511,1870,3357,2474,2943,4132,346,3007,4216,555,4177,2551,4475,4513,4629,3289,3708,2324,3774,4829,3561,4491,4190,4293,1597,1531,900,1287,2066,3123,1279,4240,9,88
8/19/2024,2,2024,1E+11,556,27,3788,14,1,4,2572,3257,2894,1751,882,885,4899,2240,4113,158,2935,1460,1800,2372,146,2071,4714,4797,1401,3083,151,1039,505,4172,3942,3211,2961,559,4843,3562,3487,4036,1061,2385,3352,3113,4911,2456,1614,1097,1739,3288,4879,4607,4714,1958,2575,31,1232,4151,3254,2868,332,4290,462,2822,4205,14,64
2/1/2024,4,2024,1E+11,256,3,1289,4,2,11,243,2625,1761,2138,796,2322,4905,1586,4475,2551,1845,1616,4881,3706,1916,2913,1822,1551,154,2321,3640,3525,74,482,2545,3414,1473,4465,2487,4498,375,3385,3654,3925,2915,1932,619,4544,972,3217,3089,71,4510,2673,2414,2248,2109,4335,4893,841,4377,4423,2994,3645,21,1031,2255,19,85
9/25/2024,8,2024,1E+11,283,9,3405,19,1,7,260,609,1036,2682,4949,2472,4175,212,3867,871,1554,2245,1059,4245,1576,3340,3813,1057,4226,3428,4524,1472,2318,4507,1071,3882,3218,3220,4357,2617,1055,4692,4165,2385,4465,2138,1247,555,2668,2047,4113,3116,1532,2430,2145,1271,3868,843,3175,4423,2517,35,4468,3158,2200,4375,3455,3,66
10/10/2024,8,2024,1E+11,732,34,2160,15,2,9,3752,3668,1494,4298,2928,1758,156,1091,2667,4438,1559,3384,1411,1085,4926,4404,3269,2352,2629,67,1470,1645,1296,2528,3139,4316,2916,2789,2359,4556,2223,2300,487,3783,2819,3484,3985,255,2511,4006,2741,4331,2162,1925,163,4156,4604,4120,287,2024,1575,96,1657,3661,3346,2673,2034,14,141
6/29/2024,5,2024,1E+11,461,24,3385,16,4,2,2269,2473,2959,792,3945,332,2464,2595,4676,1269,1312,4136,2943,792,2564,4697,2619,3310,2912,82,2347,3740,3701,4665,2939,3588,3798,1900,4875,2202,1586,486,1926,3318,3366,427,1679,3545,1929,4593,2952,3379,2649,2952,3704,90,2267,3613,482,4776,3113,2103,2947,4911,387,4193,2350,2,15
12/25/2024,12,2024,1E+11,746,13,1991,13,2,9,674,4884,4792,851,105,289,2869,892,3841,318,1105,3801,119,4094,4872,946,2534,3517,2027,166,4099,2655,4071,3793,1885,3000,3997,217,2695,534,2817,1808,2267,2963,535,3224,2280,2312,680,4097,730,2787,14,3948,4781,461,792,3432,3667,1960,4539,2133,4053,4324,2900,2439,285,10,108
5/24/2024,11,2024,1E+11,491,27,1309,19,3,1,239,3139,4944,2545,2940,2650,3235,4566,4456,4196,533,2616,2002,2484,1356,680,895,1483,1731,3518,4034,1566,4016,1869,2319,1579,4140,1724,3714,511,1010,1815,188,305,1127,1640,1649,34,4519,1958,266,4111,1330,4310,3585,1354,2623,1532,2773,3809,3267,4906,3881,56,4056,3943,4765,15,133
4/11/2024,1,2024,1E+11,442,26,190,4,3,5,3683,3807,3721,4018,4029,313,4713,337,3290,4250,340,3764,400,4724,243,14,815,2581,1305,4401,3904,2427,3018,1514,3331,1512,3431,2143,3206,4825,187,3131,4078,3204,1889,1103,3416,3960,3739,2550,862,1395,4506,2431,2794,1558,2851,323,4882,1930,2707,58,3842,1366,1287,4899,1383,11,98
6/30/2024,5,2024,1E+11,199,35,1251,9,1,14,2848,3901,3139,4578,3678,2808,4392,3258,1279,505,1873,1036,4760,4095,1059,4147,761,123,3801,2586,245,470,726,4610,2065,4269,4757,1415,3732,1814,2465,67,4805,4736,3046,353,3865,2130,3371,2729,3971,1415,2687,1686,1384,3862,3542,1115,3443,2505,2325,2905,4583,2313,1801,1125,2577,17,161
5/13/2024,4,2024,1E+11,668,32,3149,4,4,4,4354,4987,816,2270,1945,4352,3394,3776,589,3441,4745,2687,1041,2699,4316,99,1472,3095,3694,149,4993,4247,133,3413,3334,2261,945,2217,3921,1135,3,4116,2257,2486,3034,3675,4957,2623,2460,4087,1437,244,3687,1904,376,2812,1619,3718,3852,2081,1789,3489,553,296,4283,491,3193,18,40
4/25/2024,2,2024,1E+11,419,9,1234,6,3,9,1712,2569,138,4482,3113,904,1694,2910,2683,4824,4223,1558,61,1032,774,4966,3735,2363,239,1295,444,4273,2746,1261,4867,1882,2136,731,2071,2411,444,3305,2744,3826,3986,990,1072,212,1540,3977,1677,524,1081,2059,3525,1979,962,4368,2266,630,388,823,1800,525,2407,2221,4747,2,76
7/8/2024,8,2024,1E+11,372,24,2513,8,2,1,1543,3744,4975,3687,25,4996,2022,2434,1671,919,3840,1030,3681,1021,4625,2641,3650,1708,3556,1377,2435,3565,888,179,3838,322,278,1863,1991,2762,941,2714,3847,863,2578,630,4672,3086,4458,2084,4968,2320,759,3961,478,2248,3482,370,39,4228,117,1835,3094,4761,364,4792,817,9,178
5/23/2024,11,2024,1E+11,278,41,4041,12,4,3,3107,425,2137,480,443,829,12,1659,1204,3882,188,4083,1740,4746,4839,2422,1768,1086,325,1704,3040,1474,3709,2505,1101,4004,2811,2027,4214,1131,3276,2275,4309,4728,216,476,105,4080,305,2459,1747,4344,1027,4021,4192,88,1741,1708,398,3192,1030,556,3866,4888,2268,4487,2768,7,82
11/10/2024,8,2024,1E+11,252,47,4412,6,1,7,4081,3730,1234,1496,3858,906,4396,1610,1493,686,2944,1931,4016,4516,1492,3747,3497,4594,2378,1065,4286,738,4562,4855,3546,2644,3623,3368,125,2742,969,1080,3432,663,263,3989,2538,1499,833,730,1623,2990,3392,3111,436,355,4142,1922,1100,881,795,4890,3583,1290,4952,4075,4811,9,173
7/30/2024,4,2024,1E+11,960,33,4580,1,2,1,1481,3103,4649,125,1717,4016,4132,2297,2683,4071,4971,551,1394,1950,4672,3958,56,3365,4608,4628,3305,2367,916,399,4725,2422,4202,782,3719,2701,2444,2391,1261,2947,949,1949,785,2349,2781,1428,3187,3738,220,2999,2091,3572,145,3730,2846,889,3144,2787,1659,2259,1247,1270,854,17,157
2/12/2024,11,2024,1E+11,58,5,455,7,4,1,1010,2611,4319,2012,2414,1670,4459,3809,1014,898,1240,987,334,3380,4718,2705,1945,4175,942,3235,1005,1599,4338,3124,1750,3972,3551,3909,3259,4110,3117,1679,3873,2962,4651,47,3043,3427,819,2379,4383,1479,4069,369,3746,942,4754,1972,2188,4451,4254,574,2354,3759,2442,1645,4990,4,81
5/19/2024,4,2024,1E+11,247,14,4418,18,3,3,259,4084,4425,2203,289,845,732,2988,540,1585,364,2144,1336,1983,2026,1800,19,1156,2045,3887,3038,4764,1685,3144,2022,4450,1058,1739,1183,3677,3198,3950,1527,3332,277,3672,2792,3136,1716,2949,1219,2581,1942,3608,3530,2060,402,140,2886,2371,3398,4,4707,3132,732,2603,2177,13,183
5/4/2024,5,2024,1E+11,513,0,2556,19,3,8,3095,1154,4150,3819,782,2130,1509,2706,3533,2947,1917,4507,4907,1101,2202,1991,1209,2568,4984,1412,4109,2841,1815,2337,2576,1240,1272,4095,2285,2529,3642,3703,558,3435,1356,512,943,1854,1214,310,3229,3969,3328,3814,2226,3817,1604,3010,4949,1955,3551,3867,3180,2930,2529,234,1367,4,126
8/9/2024,11,2024,1E+11,918,41,2491,13,2,7,1386,2765,2522,2109,1862,3523,3666,4686,3764,1903,2236,3163,3417,4468,4317,724,2559,230,799,1888,3688,2976,1192,3739,3502,1634,280,2754,4007,1780,3648,2815,582,1948,2616,800,3831,4783,3339,725,3734,585,3692,4783,3700,1203,3659,2459,1866,4759,2792,4570,4526,2744,754,4503,2229,6,20
7/7/2024,4,2024,1E+11,349,47,3449,5,1,12,2622,374,647,4867,2332,4437,1451,2420,2130,2757,2644,132,1867,389,3895,3986,3741,4160,3433,2909,911,2740,3543,4049,4993,2251,3342,3194,1923,3189,103,4901,3586,4977,4778,1810,1986,3628,1520,34,2946,865,4167,1979,4059,2991,3764,2319,2351,2991,4961,2587,2417,2082,1782,3362,4245,2,59
7/1/2024,11,2024,1E+11,510,4,4008,16,4,2,391,1260,459,3574,1549,2808,1248,3019,2749,4124,4625,1106,346,2887,2650,3858,1816,4560,974,4458,3935,4707,2232,47,2049,3521,3642,1574,2504,3022,3499,2247,4445,2959,2499,3861,637,4941,478,60,1918,1201,1799,3792,4121,2307,2587,721,2453,2200,2730,2986,3971,4914,2724,1532,3083,15,93
3/6/2024,6,2024,1E+11,523,14,3844,10,3,7,803,4317,1729,1100,486,4065,717,835,639,3827,2894,2253,2724,1770,2119,3052,129,51,3431,1945,2313,204,1630,1038,3367,288,4524,349,3242,3259,12,1041,2258,887,1118,1243,3267,2853,2079,1412,1855,4778,545,4891,3992,714,2809,2525,4381,2047,703,1958,1017,4086,239,4444,1615,12,109
11/5/2024,1,2024,1E+11,95,31,2187,8,1,9,1109,2820,1218,469,1946,3199,4917,2929,1158,182,1639,2791,4147,3078,533,185,4312,1413,4734,1210,3852,1199,4420,3251,4677,634,4188,3755,3829,4684,1501,1295,4607,1173,1197,1213,1417,573,3181,3211,3862,980,2074,2752,595,2024,2456,2792,172,1153,4988,3216,3088,2222,3514,488,984,9,65
10/21/2024,3,2024,1E+11,414,28,584,1,4,5,2952,3703,1316,2298,4583,3467,3270,2989,0,2503,1292,0,762,4271,3765,1224,2948,4838,3936,2285,1996,662,4121,4342,3813,2801,4682,2892,4425,1198,3586,4691,3594,4696,4855,4197,4343,744,4777,3944,826,631,2917,4202,1612,1009,3078,3645,3504,3432,4940,4670,1283,312,2548,947,820,3,183
12/20/2024,4,2024,1E+11,135,7,1668,2,3,6,345,1444,2976,4365,4189,1635,1243,3839,2775,4839,2170,1587,4358,171,4425,2800,330,1083,2027,4518,2306,221,4290,496,3525,2215,4688,4780,1553,3884,5,1668,4790,2916,1049,3339,668,2244,1147,57,1436,4848,266,1943,4916,2241,375,1254,2483,968,757,2711,2569,4068,921,2280,1429,19,82
1/30/2024,1,2024,1E+11,984,23,4231,0,1,6,3291,980,3883,262,27,2440,318,373,4865,2495,3231,697,417,644,2524,4241,3997,783,191,3728,3931,257,3223,1836,3971,906,2908,680,3814,3220,4131,4393,995,484,3137,2887,4821,1987,2202,2148,1508,3267,1398,1304,3032,4089,4080,1270,3678,2645,2611,2883,3817,3516,1846,1148,2220,18,86
7/6/2024,2,2024,1E+11,800,41,4543,14,3,3,4311,4015,1183,1102,813,1140,2449,3444,1588,4724,1983,1511,568,2831,3689,550,523,4535,932,2136,4176,1438,1428,4667,1417,2805,440,2209,3918,3917,459,856,4020,981,505,2334,4305,2524,4222,3587,59,4600,3608,3582,3801,1495,1962,2442,332,2216,917,4081,4878,3217,1518,4776,3950,9,193
2/19/2024,12,2024,1E+11,111,28,3,14,4,11,1054,2913,1166,4648,3761,16,447,1752,3970,1054,2512,323,28,4638,4138,4122,194,1190,624,1421,2140,2849,71,1552,3469,733,1741,3594,4631,4350,3314,3810,1257,3615,970,1841,1555,4854,3231,2938,4572,3812,4919,2915,4034,748,1802,1074,3387,4879,3034,1627,2015,3826,873,3435,3494,14,123
4/17/2024,1,2024,1E+11,882,49,397,11,1,10,2424,4868,1607,3789,1163,372,3408,4455,656,4200,314,580,895,3780,3028,350,3898,654,1464,769,2407,114,1962,373,447,3010,228,1309,3825,1152,281,2563,3903,1980,527,1110,3179,1582,98,3921,684,3610,4351,1147,4041,1264,4893,1693,4577,2243,3541,2085,4676,3189,2501,4392,3400,19,49
1/15/2024,4,2024,1E+11,99,33,373,11,4,14,1824,2409,2691,4903,506,2955,4122,2786,1261,2878,4934,999,1418,2737,3582,4657,3608,869,4724,4620,1251,2978,753,2575,4355,651,3065,4061,920,3358,2708,4157,148,4145,1751,4661,242,3472,253,4363,2121,2597,3665,2652,2768,227,2752,3421,687,3586,1227,1994,1228,1732,3992,3890,2600,6,146
2/17/2024,11,2024,1E+11,841,0,3865,11,4,1,1579,1695,2562,2688,1661,3568,3099,611,1885,4436,1999,4188,346,4122,2662,4944,4912,3420,157,4018,2372,4462,3755,2009,422,4500,707,1979,2645,4982,341,1265,1661,1469,4289,1604,988,278,2524,2367,12,332,2437,1704,1239,622,4744,3738,1520,993,219,466,3107,4712,3281,4138,3173,3,26
2/28/2024,8,2024,1E+11,503,0,3375,6,3,11,2448,3370,2481,397,3956,621,2458,383,1994,2887,3576,4556,4586,4137,2246,3471,2071,292,154,3388,2405,4497,4833,3108,1649,240,1682,1565,3631,2148,4185,2308,1304,4900,932,3559,1266,3382,3999,1549,13,2939,370,3276,2857,2978,125,2032,4773,3208,2456,4238,1732,1110,2813,3994,546,14,117
7/17/2024,3,2024,1E+11,261,45,977,4,3,9,173,2103,4072,1983,4978,3389,1965,2102,1924,4994,2714,3057,2680,1460,916,25,2852,2124,8,2177,3826,70,3534,3279,4649,4889,692,4972,4764,4109,4917,603,995,1277,4295,4522,1569,2903,475,1964,4016,3845,652,3687,2654,3641,425,2222,965,2398,4310,4013,4133,3619,2590,2991,1271,5,140
12/30/2024,4,2024,1E+11,35,5,897,5,1,1,3826,1323,1075,401,940,590,2226,3985,2742,3806,4518,420,4345,2071,891,3275,4480,4632,4051,3024,19,4105,2072,2304,109,4187,4252,4375,1439,1200,4705,2825,363,3276,2017,3603,1420,3321,2421,1599,232,4263,3434,2418,2679,3816,4078,3069,1345,4567,3204,3892,4177,4263,2813,4040,3699,8,112
4/10/2024,4,2024,1E+11,649,45,1945,5,4,4,3122,2692,2054,2670,4484,2553,4053,3014,1873,2792,24,1746,4969,4407,1168,3952,4654,4665,3999,3080,3474,652,4227,1104,2465,1314,3219,4878,2983,4811,2988,291,1377,699,4494,1923,1610,4802,3739,1147,2732,133,1273,3016,4749,3577,1082,2596,185,4584,514,920,211,4658,3589,1645,1278,11,112
3/28/2024,5,2024,1E+11,364,41,3928,12,4,1,2680,3018,2524,2630,2824,3908,408,459,2239,3754,3102,267,889,1681,3595,4579,2934,1118,140,337,2941,3314,3649,4821,4737,2753,3778,1275,4329,3738,640,4248,4848,1476,669,788,1087,1307,3086,515,3065,4440,3793,3800,2209,3530,1760,3346,1715,2302,1036,1305,4507,3675,2356,4463,1106,7,196
10/18/2024,11,2024,1E+11,326,10,2010,5,2,5,4429,74,2339,3267,2459,1617,3430,3008,409,1522,3653,4479,2362,3035,3222,1664,1426,4419,3087,3967,2554,4166,2387,3777,2451,4827,982,4771,185,4252,2096,2819,4345,1086,6,3523,4952,1957,39,176,1482,282,3449,3558,4410,3913,462,4640,3951,2153,381,2045,2515,2222,4339,2886,434,5,132
8/18/2024,2,2024,1E+11,304,31,1748,13,2,5,1351,304,1039,662,2848,968,1796,122,4268,3268,2489,4483,1961,3968,667,3527,2328,1775,1387,1391,992,1231,3087,4202,3177,4333,942,1989,4221,512,1764,885,3980,1114,2397,1268,590,4023,390,3285,4613,4973,2929,2419,1592,4022,2053,2096,599,2301,3512,3862,4547,711,4831,3323,263,18,140
9/27/2024,12,2024,1E+11,688,48,2705,7,1,1,3806,3388,3907,1830,4654,2317,3714,3586,3954,2869,30,3141,962,1646,2382,4374,3594,4991,1533,4413,2607,2299,2669,1537,71,1013,4303,4885,2638,430,2963,1143,1041,68,545,4579,886,337,327,2853,999,4628,3773,2573,11,4191,3033,3562,4961,703,2794,534,4750,727,2590,4602,698,13,173
11/23/2024,3,2024,1E+11,115,18,850,2,1,4,806,3106,4844,463,4111,1230,4278,2416,4225,215,3443,1876,2032,4654,19,1135,2496,673,3361,526,3319,3590,4683,1865,604,991,2165,4251,638,2021,3603,1797,2399,3860,2687,954,1587,1069,2530,4700,1203,4317,4976,251,3336,2035,241,2894,3004,1179,2693,4102,3269,453,1859,4210,3083,2,162
12/7/2024,10,2024,1E+11,818,29,4048,14,3,9,264,2002,3067,1589,1941,562,723,4026,172,4895,4170,3885,1204,1084,416,1601,1120,185,1921,2143,3185,3470,795,3917,3609,4411,2983,4257,4612,3136,2850,1705,1044,4339,4979,602,596,3706,3068,85,3467,1866,1695,1617,693,675,1511,4899,880,860,2911,1288,4688,1307,698,4888,2129,16,24
7/17/2024,4,2024,1E+11,129,22,3705,14,4,8,4370,7,910,2028,4914,2281,3357,2438,3562,3452,128,3044,1572,4022,479,3103,2347,4356,4115,1874,1742,2802,1811,2418,505,3377,3013,1964,2606,4624,3540,3541,3202,3934,752,3350,4891,3433,294,2187,2110,2952,2184,1256,3498,4572,4519,377,4726,2048,4237,1027,4385,1447,3688,1803,331,16,91
8/13/2024,3,2024,1E+11,370,39,3714,3,3,4,1514,2139,4518,4478,915,1445,4511,4842,2962,468,1810,3068,2511,3847,2689,819,3156,770,1251,2017,4973,1046,4258,272,2036,1228,4719,2015,4684,553,4103,4748,421,2445,2135,2972,2815,4187,418,1644,1483,297,4782,4036,4895,4661,1648,4898,642,2964,11,1523,1963,2319,4112,4240,2673,5,124
4/30/2024,3,2024,1E+11,18,0,3329,4,3,8,3657,945,680,495,3880,4066,3019,2110,1349,1554,37,4328,4922,3240,301,3964,3313,1473,1645,380,1946,1004,2854,4807,4961,3535,1067,2900,1736,3685,102,2297,4096,4779,1052,656,894,3095,2714,1913,3522,2579,805,1864,4648,2637,3350,2240,4467,3229,2029,1041,1843,834,4406,3390,617,6,63
4/8/2024,1,2024,1E+11,350,49,2422,13,4,11,3532,1650,4161,3165,3535,3602,2473,4193,3575,882,434,4654,2567,3393,1686,284,901,3956,3845,4061,2605,1061,2424,3440,1858,1222,3353,2762,2255,1143,2955,596,1095,2893,4784,4620,542,1607,373,2073,2653,3586,2254,4034,964,3612,4236,1385,982,3867,4296,1906,1482,539,617,1596,3316,5,172
7/22/2024,1,2024,1E+11,202,12,4760,8,2,3,2681,1129,4668,3128,4258,4337,3306,160,4829,2980,1994,360,4269,1167,4494,1369,4769,1931,2303,3708,3657,206,234,3690,4136,751,3829,4994,3491,2649,989,2487,1473,273,2933,4193,936,3424,41,2977,3622,1673,4780,3659,1459,4878,3447,3839,4647,4305,4800,1093,3496,3620,3714,2667,3405,5,185
6/3/2024,10,2024,1E+11,59,29,628,7,2,11,4246,427,3687,1590,54,731,2160,3577,4826,499,3104,2138,225,3059,1466,4917,943,725,2082,1970,1249,4011,2789,879,4450,828,1433,4533,423,1960,1602,677,4213,4148,3684,3411,4391,1230,311,2659,3477,257,1017,4429,2750,908,4446,1967,1931,4355,4224,2581,4301,3288,1928,4925,4293,8,197
1/30/2024,1,2024,1E+11,335,44,3307,13,4,3,1695,56,528,1150,3584,2050,3152,1794,2450,4478,2241,263,4234,4927,3919,1465,1931,4510,2367,2870,2662,3156,4313,534,588,448,43,4603,4669,784,3692,3922,1138,2709,3083,3235,4797,4423,717,2936,1457,1126,2391,2969,3572,570,1333,1473,3693,1930,2089,4132,4663,1296,2124,2615,3806,15,180
